Item	Description	Re-lease	Test sequence (s)	Rel 99 ME	Rel-4 ME	Rel-5 ME	Rel-6 ME	Rel-7 ME	Rel-8 ME	Rel-9 ME	Rel-10 ME	Rel-11 ME	Rel-12 ME	Rel-13 ME	Rel-14 ME	Terminal Profile	Network Dependency	Sup-port	Additional test case execution parameter
	UCS2 display in Cyrillic	R99 	3.1	C111 AND C118 AND C177 AND C178	C111 AND C118 AND C177 AND C178	C111 AND C118 AND C177 AND C178	C111 AND C118 AND C177 AND C178	C111 AND C118 AND C177 AND C178	C111 AND C118 AND C177 AND C178	C111 AND C118 AND C177 AND C178	C111 AND C118 AND C177 AND C178	C111 AND C118 AND C177 AND C178	C111 AND C118 AND C177 AND C178	C111 AND C118 AND C177 AND C178	C111 AND C118 AND C177 AND C178	E.1/71 AND E.1/15 AND E.1/110 AND E.1/111	Yes		
	Icons – basic icon	R99 	4.1, 4.2	C115 AND C177 AND C178	C115 AND C177 AND C178	C115 AND C177 AND C178	C115 AND C177 AND C178	C115 AND C177 AND C178	C115 AND C177 AND C178	C115 AND C177 AND C178	C115 AND C177 AND C178	C115 AND C177 AND C178	C115 AND C177 AND C178	C115 AND C177 AND C178	C115 AND C177 AND C178	E.1/71 AND E.1/110 AND E.1/111	Yes		
	Text attribute – left alignment	Rel-5	5.1			C111 AND C153 AND C177 AND C178	C111 AND C153 AND C177 AND C178	C111 AND C153 AND C177 AND C178	C111 AND C153 AND C177 AND C178	C111 AND C153 AND C177 AND C178	C111 AND C153 AND C177 AND C178	C111 AND C153 AND C177 AND C178	C111 AND C153 AND C177 AND C178	C111 AND C153 AND C177 AND C178	C111 AND C153 AND C177 AND C178	E.1/71 AND E.1/124 AND E.1/217 AND E.1/110 AND E.1/111	Yes		
	Text attribute – center alignment	Rel-5	5.2			C111 AND C154 AND C177 AND C178	C111 AND C154 AND C177 AND C178	C111 AND C154 AND C177 AND C178	C111 AND C154 AND C177 AND C178	C111 AND C154 AND C177 AND C178	C111 AND C154 AND C177 AND C178	C111 AND C154 AND C177 AND C178	C111 AND C154 AND C177 AND C178	C111 AND C154 AND C177 AND C178	C111 AND C154 AND C177 AND C178	E.1/71 AND E.1/124 AND E.1/218 AND E.1/110 AND E.1/111	Yes		
	Text attribute – right alignment	Rel-5	5.3			C111 AND C155 AND C177 AND C178	C111 AND C155 AND C177 AND C178	C111 AND C155 AND C177 AND C178	C111 AND C155 AND C177 AND C178	C111 AND C155 AND C177 AND C178	C111 AND C155 AND C177 AND C178	C111 AND C155 AND C177 AND C178	C111 AND C155 AND C177 AND C178	C111 AND C155 AND C177 AND C178	C111 AND C155 AND C177 AND C178	E.1/71 AND E.1/124 AND E.1/219 AND E.1/110 AND E.1/111	Yes		
	Text attribute – large font size	Rel-5	5.4			C111 AND C157AND C156 AND C177 AND C178	C111 AND C157AND C156 AND C177 AND C178	C111 AND C157AND C156 AND C177 AND C178	C111 AND C157 AND C156 AND C177 AND C178	C111 AND C157 AND C156 AND C177 AND C178	C111 AND C157 AND C156 AND C177 AND C178	C111 AND C157 AND C156 AND C177 AND C178	C111 AND C157 AND C156 AND C177 AND C178	C111 AND C157 AND C156 AND C177 AND C178	C111 AND C157 AND C156 AND C177 AND C178	E.1/71 AND E.1/124 AND E.1/221 AND E.1/220 AND E.1/110 AND E.1/111	Yes		
	Text attribute – small font size	Rel-5	5.5			C111 AND C158AND C156 AND C177 AND C178	C111 AND C158AND C156 AND C177 AND C178	C111 AND C158AND C156 AND C177 AND C178	C111 AND C158 AND C156 AND C177 AND C178	C111 AND C158 AND C156 AND C177 AND C178	C111 AND C158 AND C156 AND C177 AND C178	C111 AND C158 AND C156 AND C177 AND C178	C111 AND C158 AND C156 AND C177 AND C178	C111 AND C158 AND C156 AND C177 AND C178	C111 AND C158 AND C156 AND C177 AND C178	E.1/71 AND E.1/124 AND E.1/222 AND E.1/220 AND E.1/110 AND E.1/111	Yes		
	Text attribute – bold on	Rel-5	5.6			C111 AND C160 AND C159 AND C177 AND C178	C111 AND C160 AND C159 AND C177 AND C178	C111 AND C160 AND C159 AND C177 AND C178	C111 AND C160 AND C159 AND C177 AND C178	C111 AND C160 AND C159 AND C177 AND C178	C111 AND C160 AND C159 AND C177 AND C178	C111 AND C160 AND C159 AND C177 AND C178	C111 AND C160 AND C159 AND C177 AND C178	C111 AND C160 AND C159 AND C177 AND C178	C111 AND C160 AND C159 AND C177 AND C178	E.1/71 AND E.1/124 AND E.1/225 AND E.1/226 AND E.1/110 AND E.1/111	Yes		
	Text attribute – italic on	Rel-5	5.7			C111 AND C161 AND C159 AND C177 AND C178	C111 AND C161 AND C159 AND C177 AND C178	C111 AND C161 AND C159 AND C177 AND C178	C111 AND C161 AND C159 AND C177 AND C178	C111 AND C161 AND C159 AND C177 AND C178	C111 AND C161 AND C159 AND C177 AND C178	C111 AND C161 AND C159 AND C177 AND C178	C111 AND C161 AND C159 AND C177 AND C178	C111 AND C161 AND C159 AND C177 AND C178	C111 AND C161 AND C159 AND C177 AND C178	E.1/71 AND E.1/124 AND E.1/225 AND E.1/227 AND E.1/110 AND E.1/111	Yes		
	Text attribute – underline on	Rel-5	5.8			C111 AND C162 AND C159 AND C177 AND C178	C111 AND C162 AND C159 AND C177 AND C178	C111 AND C162 AND C159 AND C177 AND C178	C111 AND C162 AND C159 AND C177 AND C178	C111 AND C162 AND C159 AND C177 AND C178	C111 AND C162 AND C159 AND C177 AND C178	C111 AND C162 AND C159 AND C177 AND C178	C111 AND C162 AND C159 AND C177 AND C178	C111 AND C162 AND C159 AND C177 AND C178	C111 AND C162 AND C159 AND C177 AND C178	E.1/71 AND E.1/124 AND E.1/225 AND E.1/228 AND E.1/110 AND E.1/111	Yes		
	Text attribute – strikethrough on	Rel-5	5.9			C111 AND C163 AND C159 AND C177 AND C178	C111 AND C163 AND C159 AND C177 AND C178	C111 AND C163 AND C159 AND C177 AND C178	C111 AND C163 AND C159 AND C177 AND C178	C111 AND C163 AND C159 AND C177 AND C178	C111 AND C163 AND C159 AND C177 AND C178	C111 AND C163 AND C159 AND C177 AND C178	C111 AND C163 AND C159 AND C177 AND C178	C111 AND C163 AND C159 AND C177 AND C178	C111 AND C163 AND C159 AND C177 AND C178	E.1/71 AND E.1/124 AND E.1/225 AND E.1/229 AND E.1/110 AND E.1/111	Yes		
	Text attribute – foreground and background colours	Rel-5	5.10			C111 AND C164 AND C165 AND C177 AND C178	C111 AND C164 AND C165 AND C177 AND C178	C111 AND C164 AND C165 AND C177 AND C178	C111 AND C164 AND C165 AND C177 AND C178	C111 AND C164 AND C165 AND C177 AND C178	C111 AND C164 AND C165 AND C177 AND C178	C111 AND C164 AND C165 AND C177 AND C178	C111 AND C164 AND C165 AND C177 AND C178	C111 AND C164 AND C165 AND C177 AND C178	C111 AND C164 AND C165 AND C177 AND C178	E.1/71 AND E.1/124 AND E.1/230 AND E.1/231 AND E.1/110 AND E.1/111	Yes		
	UCS2 display in Chinese	R99	6.1			C111 AND C143 AND C177 AND C178	C111 AND C143 AND C177 AND C178	C111 AND C143 AND C177 AND C178	C111 AND C143 AND C177 AND C178	C111 AND C143 AND C177 AND C178	C111 AND C143 AND C177 AND C178	C111 AND C143 AND C177 AND C178	C111 AND C143 AND C177 AND C178	C111 AND C143 AND C177 AND C178	C111 AND C143 AND C177 AND C178	E.1/71 AND E.1/15 AND E.1/110 AND E.1/111	Yes		
	UCS2 display in Katakana	R99	7.1			C111 AND C145 AND C177 AND C178	C111 AND C145 AND C177 AND C178	C111 AND C145 AND C177 AND C178	C111 AND C145 AND C177 AND C178	C111 AND C145 AND C177 AND C178	C111 AND C145 AND C177 AND C178	C111 AND C145 AND C177 AND C178	C111 AND C145 AND C177 AND C178	C111 AND C145 AND C177 AND C178	C111 AND C145 AND C177 AND C178	E.1/71 AND E.1/15 AND E.1/110 AND E.1/111	Yes		
	Frames	Rel-6	TBD													E.1/71 AND E.1/177 AND E.1/178 AND E.1/110 AND E.1/111	TBD		
31	OPEN CHANNEL 27.22.4.27																		
	void	R99	void	void	void	void	void	void	void	void	void	void	void	void	void	void			
	void	R99	2.1	void	void	void	void	void	void	void	void	void	void	void	void	void			
	immediate link establishment GPRS, no alpha identifier, with network access name	R99	2.2	C121	C121	C121	C121	C121	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	E.1/89 AND E.1/98	UMTS System Simulator or System Simulator only		AER006
	immediate link establishment, GPRS, with alpha identifier	R99	2.3	C121	C121	C121	C121	C121	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	E.1/89 AND E.1/98 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		TCEP001, TCEP002, AER005
	immediate link establishment, GPRS, with null alpha identifier	R99	2.4	C121	C121	C121	C121	C121	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	E.1/89 AND E.1/98	UMTS System Simulator or System Simulator only		TCEP001
	immediate link establishment, GPRS, command performed with modifications (buffer size)	R99	2.5	C152	C152	C152	C152	C152	C152 AND C183	C152 AND C183	C152 AND C183	C152 AND C183	C152 AND C183	C152 AND C183	C152 AND C183	E.1/89 AND E.1/98	UMTS System Simulator or System Simulator only		
	void	void	2.6	Void	void	void	void	void	Void	Void	Void	Void	Void	Void	Void	void			
	immediate link establishment, GPRS, open command with alpha identifier, User did not accept the proactive command	R99	2.7	C169 AND C177	C169 AND C177	C169 AND C177	C169 AND C177	C169 AND C177	C169 AND C183 AND C177	C169 AND C183 AND C177	C169 AND C183 AND C177	C169 AND C183 AND C177	C169 AND C183 AND C177	C169 AND C183 AND C177	C169 AND C183 AND C177	E.1/89 AND E.1/98 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		TCEP001, TCEP002, AER007
	void	void	2.8	Void	void	void	void	void	Void	Void	Void	Void	Void	Void	Void	void			
	OPEN CHANNEL, immediate link establishment, no alpha identifier, with network access name	R99	2.9							C191 AND C183	C191 AND C183	C191 AND C183	C191 AND C183	C191 AND C183	C191 AND C183	E.1/89 AND E.1/98 AND E.1/129 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		
	Multi OPEN CHANNEL, one in TCP Server  mode and one in TCP Client mode.	Rel-7	2.10							C192 AND C183	C192 AND C183	C192 AND C183	C192 AND C183	C192 AND C183	C192 AND C183	E.1/89 AND E.1/98 AND E.1/129 AND E.1/131	UMTS System Simulator or System Simulator only		
	OPEN CHANNEL, Default Bearer, GPRS, with null alpha identifier)	R99	3.1	C191	C191	C191	C191	C191	C191 AND C183	C191 AND C183	C191 AND C183	C191 AND C183	C191 AND C183	C191 AND C183	C191 AND C183	E.1/89 AND E.1/98 AND C129	UMTS System Simulator or System Simulator only		TCEP001
	Local Bearer	Rel-4	TBD													E.1/89 AND E.1/98 AND C132	TBD		
	Text attribute – left alignment	Rel-5	5.1			C121 AND C153	C121 AND C153	C121 AND C153	C121 AND C153 AND C183	C121 AND C153 AND C183	C121 AND C153 AND C183	C121 AND C153 AND C183	C121 AND C153 AND C183	C121 AND C153 AND C183	C121 AND C153 AND C183	E.1/89 AND E.1/98 AND E.1/124 AND E.1/217 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		TCEP001, TCEP002
	Text attribute – center alignment	Rel-5	5.2			C121 AND C154	C121 AND C154	C121 AND C154	C121 AND C154 AND C183	C121 AND C154 AND C183	C121 AND C154 AND C183	C121 AND C154 AND C183	C121 AND C154 AND C183	C121 AND C154 AND C183	C121 AND C154 AND C183	E.1/89 AND E.1/98 AND E.1/124 AND E.1/218 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		TCEP001, TCEP002
	Text attribute – right alignment	Rel-5	5.3			C121 AND C155	C121 AND C155	C121 AND C155	C121 AND C155 AND C183	C121 AND C155 AND C183	C121 AND C155 AND C183	C121 AND C155 AND C183	C121 AND C155 AND C183	C121 AND C155 AND C183	C121 AND C155 AND C183	E.1/89 AND E.1/98 AND E.1/124 AND E.1/219 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		TCEP001, TCEP002
	Text attribute – large font size	Rel-5	5.4			C121 AND C157AND C156	C121 AND C157AND C156	C121 AND C157AND C156	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	E.1/89 AND E.1/98 AND E.1/124 AND E.1/221 AND E.1/220 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		TCEP001, TCEP002
	Text attribute – small font size	Rel-5	5.5			C121 AND C158AND C156	C121 AND C158AND C156	C121 AND C158AND C156	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	E.1/89 AND E.1/98 AND E.1/124 AND E.1/222 AND E.1/220 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		TCEP001, TCEP002
	Text attribute – bold on	Rel-5	5.6			C121 AND C160 AND C159	C121 AND C160 AND C159	C121 AND C160 AND C159	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	E.1/89 AND E.1/98 AND E.1/124 AND E.1/225 AND E.1/226 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		TCEP001, TCEP002
	Text attribute – italic on	Rel-5	5.7			C121 AND C161 AND C159	C121 AND C161 AND C159	C121 AND C161 AND C159	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	E.1/89 AND E.1/98 AND E.1/124 AND E.1/225 AND E.1/227 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		TCEP001, TCEP002
	Text attribute – underline on	Rel-5	5.8			C121 AND C162 AND C159	C121 AND C162 AND C159	C121 AND C162 AND C159	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	E.1/89 AND E.1/98 AND E.1/124 AND E.1/225 AND E.1/228 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		TCEP001, TCEP002
	Text attribute – strikethrough on	Rel-5	5.9			C121 AND C163 AND C159	C121 AND C163 AND C159	C121 AND C163 AND C159	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	E.1/89 AND E.1/98 AND E.1/124 AND E.1/225 AND E.1/229 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		TCEP001, TCEP002
	Text attribute – foreground and background colours	Rel-5	5.10			C121 AND C164 AND C165	C121 AND C164 AND C165	C121 AND C164 AND C165	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	E.1/89 AND E.1/98 AND E.1/124 AND E.1/230 AND E.1/231 AND E.1/110 AND E.1/111	UMTS System Simulator or System Simulator only		TCEP001, TCEP002
	Frames	Rel-6	TBD													E.1/89 AND E.1/98 AND E.1/177 AND E.1/178 AND E.1/110 AND E.1/111	TBD		
	Immediate link establishment, E-UTRAN, bearer type '02'	Rel-8	6.1						C182	C182	C182	C182	C182	C224	C224	E.1/89 AND E.1/135	E-USS or NB-SS (See NOTE)		
	Immediate link establishment, E-UTRAN, bearer type '0B'	Rel-8	6.2						C182	C182	C182	C182	C182	C182	C182	E.1/89 AND E.1/135	E-USS only		
	Immediate link establishment, E-UTRAN, bearer type '02', with Network Access Name, with alpha identifier	Rel-8	6.3						C182	C182	C182	C182	C182	C224	C224	E.1/89 AND E.1/110 AND E.1/111 AND E.1/135	E-USS or NB-SS (See NOTE)		TCEP001, TCEP002
	Immediate link establishment, E-UTRAN, bearer type '03',  with alpha identifier, user did not accept the proactive command	Rel-8	6.4						C182 AND C177	C182 AND C177	C182 AND C177	C182 AND C177	C182 AND C177	C223 AND C177	C223 AND C177	E.1/89 AND E.1/110 AND E.1/111 AND E.1/135	E-USS or NB-SS (See NOTE)		
	Immediate link establishment, E-UTRAN, bearer type '03', default EPS bearer	Rel-8	6.5						C182	C182	C182	C182	C182	C223	C223	E.1/89 AND E.1/135	E-USS or NB-SS (See NOTE)		
	OPEN CHANNEL for IMS, IARI list stored on the USIM	Rel-10	7.1								C207	C207	C207	C207	C207	E.1/33 AND E.1/89 AND E.1/247 AND E.1/249	UMTS System Simulator OR E-USS		
32	CLOSE CHANNEL 27.22.4.28																		
	successful	R99 	1.1	C121	C121	C121	C121	C121	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	E.1/89 AND E.1/90 	UMTS System Simulator or System Simulator only		
	with an invalid channel identifier	R99 	1.2	C121	C121	C121	C121	C121	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	E.1/89 AND E.1/90	UMTS System Simulator or System Simulator only		
	on an already closed channel	R99	1.3	C121	C121	C121	C121	C121	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	E.1/90	UMTS System Simulator or System Simulator only		
	Text attribute – left alignment	Rel-5	2.1			C121 AND C153	C121 AND C153	C121 AND C153	C121 AND C153 AND C183	C121 AND C153 AND C183	C121 AND C153 AND C183	C121 AND C153 AND C183	C121 AND C153 AND C183	C121 AND C153 AND C183	C121 AND C153 AND C183	E.1/89 AND E.1/90 AND E.1/124 AND E.1/217 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – center alignment	Rel-5	2.2			C121 AND C154	C121 AND C154	C121 AND C154	C121 AND C154 AND C183	C121 AND C154 AND C183	C121 AND C154 AND C183	C121 AND C154 AND C183	C121 AND C154 AND C183	C121 AND C154 AND C183	C121 AND C154 AND C183	E.1/89 AND E.1/90 AND E.1/124 AND E.1/218 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – right alignment	Rel-5	2.3			C121 AND C155	C121 AND C155	C121 AND C155	C121 AND C155 AND C183	C121 AND C155 AND C183	C121 AND C155 AND C183	C121 AND C155 AND C183	C121 AND C155 AND C183	C121 AND C155 AND C183	C121 AND C155 AND C183	E.1/89 AND E.1/90 AND E.1/124 AND E.1/219 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – large font size	Rel-5	2.4			C121 AND C157AND C156	C121 AND C157AND C156	C121 AND C157AND C156	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	E.1/89 AND E.1/90 AND E.1/124 AND E.1/221 AND E.1/220 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – small font size	Rel-5	2.5			C121 AND C158AND C156	C121 AND C158AND C156	C121 AND C158AND C156	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	E.1/89 AND E.1/90 AND E.1/124 AND E.1/222 AND E.1/220 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – bold on	Rel-5	2.6			C121 AND C160 AND C159	C121 AND C160 AND C159	C121 AND C160 AND C159	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	E.1/89 AND E.1/90 AND E.1/124 AND E.1/225 AND E.1/226 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – italic on	Rel-5	2.7			C121 AND C161 AND C159	C121 AND C161 AND C159	C121 AND C161 AND C159	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	E.1/89 AND E.1/90 AND E.1/124 AND E.1/225 AND E.1/227 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – underline on	Rel-5	2.8			C121 AND C162 AND C159	C121 AND C162 AND C159	C121 AND C162 AND C159	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	E.1/89 AND E.1/90 AND E.1/124 AND E.1/225 AND E.1/228 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – strikethrough on	Rel-5	2.9			C121 AND C163 AND C159	C121 AND C163 AND C159	C121 AND C163 AND C159	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	C121 AND C163 AND C159 AND C183	E.1/89 AND E.1/90 AND E.1/124 AND E.1/225 AND E.1/229 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – foreground and background colours	Rel-5	2.10			C121 AND C164 AND C165	C121 AND C164 AND C165	C121 AND C164 AND C165	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	C121 AND C164 AND C165 AND C183	E.1/89 AND E.1/90 AND E.1/124 AND E.1/230 AND E.1/231 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Frames	Rel-6	TBD													E.1/89 AND E.1/98 AND E.1/177 AND E.1/178 AND E.1/110	TBD		
	Default EPS bearer, successful	Rel-8	3.1						C182	C182	C182	C182	C182	C224 	C224 	E.1/89 AND E.1/90	E-USS or NB-SS (See NOTE)		
	EPS bearer with APN different from default APN, successful	Rel-8	3.2						C182	C182	C182	C182	C182	C224 	C224 	E.1/89 AND E.1/90	E-USS or NB-SS (See NOTE)		TCEP001, TCEP002
33	RECEIVE DATA 27.22.4.29																		
	already opened channel	R99	1.1	C121	C121	C121	C121	C121	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	C121 AND C183	E.1/89 AND E.1/91 AND E.1/92	UMTS System Simulator or System Simulator only		AER008
	Text attribute – left alignment	Rel-5	2.1			C121 AND C153	C121 AND C153	C121 AND C153	C121 AND C153 AND C183	C121 AND C153 AND C183	C121 AND C153 AND C183	C121 AND C153 AND C183	C121 AND C153 AND C183	C121 AND C153 AND C183	C121 AND C153 AND C183	E.1/89 AND E.1/91 AND E.1/92 AND E.1/124 AND E.1/217 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – center alignment	Rel-5	2.2			C121 AND C154	C121 AND C154	C121 AND C154	C121 AND C154 AND C183	C121 AND C154 AND C183	C121 AND C154 AND C183	C121 AND C154 AND C183	C121 AND C154 AND C183	C121 AND C154 AND C183	C121 AND C154 AND C183	E.1/89 AND E.1/91 AND E.1/124 AND E.1/218 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – right alignment	Rel-5	2.3			C121 AND C155	C121 AND C155	C121 AND C155	C121 AND C155 AND C183	C121 AND C155 AND C183	C121 AND C155 AND C183	C121 AND C155 AND C183	C121 AND C155 AND C183	C121 AND C155 AND C183	C121 AND C155 AND C183	E.1/89 AND E.1/91 AND E.1/124 AND E.1/219 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – large font size	Rel-5	2.4			C121 AND C157AND C156	C121 AND C157AND C156	C121 AND C157AND C156	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	C121 AND C157 AND C156 AND C183	E.1/89 AND E.1/91 AND E.1/124 AND E.1/221 AND E.1/220 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – small font size	Rel-5	2.5			C121 AND C158AND C156	C121 AND C158AND C156	C121 AND C158AND C156	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	C121 AND C158 AND C156 AND C183	E.1/89 AND E.1/91 AND E.1/124 AND E.1/222 AND E.1/220 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – bold on	Rel-5	2.6			C121 AND C160 AND C159	C121 AND C160 AND C159	C121 AND C160 AND C159	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	C121 AND C160 AND C159 AND C183	E.1/89 AND E.1/91 AND E.1/124 AND E.1/225 AND E.1/226 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – italic on	Rel-5	2.7			C121 AND C161 AND C159	C121 AND C161 AND C159	C121 AND C161 AND C159	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	C121 AND C161 AND C159 AND C183	E.1/89 AND E.1/91 AND E.1/124 AND E.1/225 AND E.1/227 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
	Text attribute – underline on	Rel-5	2.8			C121 AND C162 AND C159	C121 AND C162 AND C159	C121 AND C162 AND C159	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	C121 AND C162 AND C159 AND C183	E.1/89 AND E.1/91 AND E.1/124 AND E.1/225 AND E.1/228 AND E.1/110	UMTS System Simulator or System Simulator only		TCEP001
