Clause	Title	Release	Applicability	Additional Information
			Condition	Comments	Number of TC Executions	Release on other RAT	Branch
9.2.46	4DL PCell in TDD RSRQ for E-UTRAN in Carrier Aggregation	Rel-12	C70a	UE supporting E-UTRA FDD and TDD and 4DL CA with TDD as PCell			
9.2.47	5 DL PCell in FDD RSRQ for E-UTRAN in Carrier Aggregation	Rel-12	C69b	UE supporting E-UTRA FDD and TDD and 5DL CA with FDD as PCell			
9.2.48	5 DL PCell in TDD RSRQ for E-UTRAN in Carrier Aggregation	Rel-12	C70b	UE supporting E-UTRA FDD and TDD and 5DL CA with TDD as PCell			
9.2.51	FS3 Intra frequency absolute and relative RSRQ accuracies with FDD PCell	Rel-13	C149	UE supporting E-UTRA FDD and Downlink LAA with FDD as Pcell and Feature Group Indicator 16			2Rx, 4Rx
9.2.52	FS3 Intra frequency absolute and relative RSRQ accuracies with TDD PCell	Rel-13	C152	UE supporting E-UTRA TDD and Downlink LAA and Feature Group Indicator 16			2Rx, 4Rx
9.3.1	E-UTRAN FDD - UTRA FDD CPICH RSCP absolute accuracy	Rel-9	C04	UE supporting E-UTRA FDD and UTRA FDD			2Rx, 4Rx
9.3.2	E-UTRAN TDD - UTRA FDD CPICH RSCP absolute accuracy	Rel-9	C07	UE supporting E-UTRA TDD and UTRA FDD			2Rx, 4Rx
9.3.3	E-UTRAN FDD - UTRA FDD CPICH RSCP absolute accuracy for 5MHz bandwidth	Rel-9	C52	UE supporting E-UTRA FDD and E-UTRA Band 31 and UTRA FDD			
9.4.1	E-UTRAN FDD - UTRA FDD CPICH Ec/No absolute accuracy	Rel-9	C04	UE supporting E-UTRA FDD and UTRA FDD			2Rx, 4Rx
9.4.2	E-UTRAN TDD - UTRA FDD CPICH Ec/No absolute accuracy	Rel-9	C07	UE supporting E-UTRA TDD and UTRA FDD			2Rx, 4Rx
9.4.3	E-UTRAN FDD - UTRA FDD CPICH Ec/No absolute accuracy for 5MHz bandwidth	Rel-9	C52	UE supporting E-UTRA FDD and E-UTRA Band 31 and UTRA FDD			
9.5.1	E-UTRAN FDD - UTRA TDD PCCPCH RSCP absolute accuracy	Rel-9	C65	UE supporting E-UTRA FDD and UTRA TDD and Feature Group Indicators 39			2Rx, 4Rx
		Rel-9	C105	UE supporting E-UTRA FDD and UTRA TDD and Feature Group Indicators 22 and not supporting UTRA FDD			2Rx, 4Rx
9.5.2	E-UTRAN TDD - UTRA TDD PCCPCH RSCP absolute accuracy	Rel-9	C66	UE supporting E-UTRA TDD and UTRA TDD and Feature Group Indicators 39			2Rx, 4Rx
		Rel-9	C106	UE supporting E-UTRA TDD and UTRA TDD and Feature Group Indicators 22 and not supporting UTRA FDD			2Rx, 4Rx
9.6.1	GSM RSSI accuracy for E-UTRAN FDD	Rel-9	C08g	UE supporting E-UTRA FDD and GSM and Feature Group Indicator 16 and 23			2Rx, 4Rx
9.6.2	GSM RSSI accuracy for E-UTRAN TDD	Rel-9	C09h	UE supporting E-UTRA TDD and GSM and Feature Group Indicator 16 and 23			2Rx, 4Rx
9.9.1.1	FDD Intra Frequency Serving Cell Absolute RSRP Accuracy	Rel-10 and Rel-11 only	C01f	UE supporting E-UTRA FDD and Feature Group Indicator 16			2Rx, 4Rx
9.9.1.1_1	FDD Intra Frequency Serving Cell Absolute RSRP Accuracy (Rel-12 and forward)	Rel-12	C01f	UE supporting E-UTRA FDD and Feature Group Indicator 16			2Rx, 4Rx
9.9.1.2	FDD Intra Frequency Serving Cell Absolute RSRQ Accuracy	Rel-10	C01f	UE supporting E-UTRA FDD and Feature Group Indicator 16			2Rx, 4Rx
9.9.2.1	TDD Intra Frequency Serving Cell Absolute RSRP Accuracy	Rel-10 and Rel-11 only	C02f	UE supporting E-UTRA TDD and Feature Group Indicator 16			2Rx, 4Rx
9.9.2.1_1	TDD Intra Frequency Serving Cell Absolute RSRP Accuracy (Rel-12 and forward)	Rel-12	C02f	UE supporting E-UTRA TDD and Feature Group Indicator 16			2Rx, 4Rx
9.9.2.2	TDD Intra Frequency Serving Cell Absolute RSRQ Accuracy	Rel-10	C02f	UE supporting E-UTRA TDD and Feature Group Indicator 16			2Rx, 4Rx
9.11.1	FS3 average RSSI accuracy case (PCell using FDD)	Rel-13	 C157	UE supporting E-UTRA FDD and Downlink LAA with FDD as Pcell and Feature Group Indicator 16 and channel occupancy measurement			2Rx, 4Rx
9.11.2	FS3 average RSSI accuracy case (PCell using TDD)	Rel-13	C158	UE supporting E-UTRA TDD and Downlink LAA with TDD as Pcell and Feature Group Indicator 16 and channel occupancy measurement			2Rx, 4Rx
9.12.1	FS3 channel occupancy test (PCell using FDD)	Rel-13	C157	UE supporting E-UTRA FDD and Downlink LAA with FDD as Pcell and Feature Group Indicator 16 and channel occupancy measurement			2Rx, 4Rx
9.12.2	FS3 channel occupancy test (PCell using TDD)	Rel-13	C158	UE supporting E-UTRA TDD and Downlink LAA with TDD as Pcell and Feature Group Indicator 16 and channel occupancy measurement			2Rx, 4Rx
