Clause	Title	Release	Applicability	Comments	Number of TC Executions (informative)	Release RAT
8.2.2.79.5	Radio Bearer Reconfiguration for transition between CELL_FACH & CELL_DCH: Successful Activation and Deactivation of 4C-HSDPA Dual Bands, 64 QAM and MIMO (2-2)	Rel-10	C857	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and (FDD HS-DSCH category 32) (Dual band Carrier Combination (2,2))	1 Execution: PS	
8.2.2.80.1	Radio Bearer Reconfiguration for transition between CELL_FACH & CELL_DCH: Successful Activation and Deactivation of 3C-HSDPA and for Single Band and 64 QAM	Rel-10	C851	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and (FDD HS-DSCH category 29 or FDD HS-DSCH category 30 or FDD HS-DSCH category 31 or FDD HS-DSCH category 32) and Single band Carrier Combination (3)	1 Execution: PS	
8.2.2.80.2	Radio Bearer Reconfiguration for transition between CELL_FACH & CELL_DCH: Successful Activation and Deactivation of 3C-HSDPA for Dual Band and 64 QAM (1-2)	Rel-10	C860	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and (FDD HS-DSCH category 29 or FDD HS-DSCH category 30 or FDD HS-DSCH category 31 or FDD HS-DSCH category 32) and (Dual band Carrier Combination (1,2))	1 Execution: PS	
8.2.2.80.3	Radio Bearer Reconfiguration for transition between CELL_FACH & CELL_DCH: Successful Activation and Deactivation of 3C-HSDPA for Dual Band and 64 QAM (2-1)	Rel-10	C861	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and (FDD HS-DSCH category 29 or FDD HS-DSCH category 30 or FDD HS-DSCH category 31 or FDD HS-DSCH category 32) and (Dual band Carrier Combination (2,1))	1 Execution: PS	
8.2.2.80.4	Radio Bearer Reconfiguration for transition between CELL_FACH & CELL_DCH: Successful Activation and Deactivation of 4C-HSDPA for Dual Bands and 64 QAM (3-1)	Rel-10	C862	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and (FDD HS-DSCH category 31 or FDD HS-DSCH category 32) (Dual band Carrier Combination (3.1))	1 Execution: PS	
8.2.2.80.5	Radio Bearer Reconfiguration for transition between CELL_FACH & CELL_DCH: Successful Activation and Deactivation of 4C-HSDPA for Dual Bands and 64 QAM (2-2)	Rel-10	C863	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and (FDD HS-DSCH category 31 or FDD HS-DSCH category 32) (Dual band Carrier Combination (2,2))	1 Execution: PS	
8.2.2.81.1	Radio Bearer Reconfiguration: 3C Activation by Serving Cell Change from non 3C-HSDPA capable cell to 3C-HSDPA capable cell/Single Band	Rel-10	C851a	UEs supporting FDD and (FDD HS-DSCH category 29 or FDD HS-DSCH category 30 or FDD HS-DSCH category 31 or FDD HS-DSCH category 32) and Single band Carrier Combination (3)	1 Execution: PS	
8.2.2.81.2	Radio Bearer Reconfiguration: 3C Activation by Serving Cell Change from non 3C-HSDPA capable cell to 3C-HSDPA capable cell/Dual Band (1-2)	Rel-10	C860a	UEs supporting FDD and (FDD HS-DSCH category 29 or FDD HS-DSCH category 30 or FDD HS-DSCH category 31 or FDD HS-DSCH category 32) and Dual band carrier combination (1,2)	1 Execution: PS	
8.2.2.81.3	Radio Bearer Reconfiguration: 3C Activation by Serving Cell Change from non 3C-HSDPA capable cell to 3C-HSDPA capable cell/Dual Band (2-1)	Rel-10	C861a	UEs supporting FDD and (FDD HS-DSCH category 29 or FDD HS-DSCH category 30 or FDD HS-DSCH category 31 or FDD HS-DSCH category 32) and Dual band carrier combination (2,1)	1 Execution: PS	
8.2.2.81.4	Radio Bearer Reconfiguration: 4C Activation by Serving Cell Change from non 4C-HSDPA capable cell to 4C-HSDPA capable cell/Dual Band (3-1)	Rel-10	C862a	UEs supporting FDD and (FDD HS-DSCH category 31 or FDD HS-DSCH category 32) and Dual band carrier combination (3,1)	1 Execution: PS	
8.2.2.81.5	Radio Bearer Reconfiguration: 4C Activation by Serving Cell Change from non 4C-HSDPA capable cell to 4C-HSDPA capable cell/Dual Band (2-2)	Rel-10	C863a	UEs supporting FDD and (FDD HS-DSCH category 31 or FDD HS-DSCH category 32) and Dual band carrier combination (2,2)	1 Execution: PS	
8.2.2.82.1	Radio Bearer Reconfiguration: 3C Deactivation by Serving Cell Change from 3C-HSDPA capable cell to a non 3C-HSDPA capable cell/Single Band	Rel-10	C851	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and (FDD HS-DSCH category 29 or FDD HS-DSCH category 30 or FDD HS-DSCH category 31 or FDD HS-DSCH category 32) and Single band Carrier Combination (3)	1 Execution: PS	
8.2.2.82.2	Radio Bearer Reconfiguration: 3C Deactivation by Serving Cell Change from 3C-HSDPA capable cell to a non 3C-HSDPA capable cell/Dual Band (1-2)	Rel-10	C860	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and (FDD HS-DSCH category 29 or FDD HS-DSCH category 30 or FDD HS-DSCH category 31 or FDD HS-DSCH category 32) and Dual band carrier combination (1,2)	1 Execution: PS	
8.2.2.82.3	Radio Bearer Reconfiguration: 3C Deactivation by Serving Cell Change from 3C-HSDPA capable cell to a non 3C-HSDPA capable cell/Dual Band (2-1)	Rel-10	C861	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and (FDD HS-DSCH category 29 or FDD HS-DSCH category 30 or FDD HS-DSCH category 31 or FDD HS-DSCH category 32) and Dual band carrier combination (2,1)	1 Execution: PS	
8.2.2.82.4	Radio Bearer Reconfiguration: 4C Deactivation by Serving Cell Change from 4C-HSDPA capable cell to a non 4C-HSDPA capable cell/Dual Band (3-1)	Rel-10	C862	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and (FDD HS-DSCH category 31 or FDD HS-DSCH category 32) and Dual band carrier combination (3,1)	1 Execution: PS	
8.2.2.82.5	Radio Bearer Reconfiguration: 4C Deactivation by Serving Cell Change from 4C-HSDPA capable cell to a non 4C-HSDPA capable cell/Dual Band (2-2)	Rel-10	C863	UEs supporting FDD and (F-DPCH or Enhanced F-DPCH) and (FDD HS-DSCH category 31 or FDD HS-DSCH category 32) and Dual band carrier combination (2,2)	1 Execution: PS	
8.2.2.83.1	Radio Bearer Reconfiguration for transition between CELL_DCH & CELL_DCH with SRBs mapped on DCH: Successful Activation and Deactivation of 3C-HSDPA /Single Band and 64 QAM	Rel-10	C851a	UEs supporting FDD and (FDD HS-DSCH category 29 or FDD HS-DSCH category 30 or FDD HS-DSCH category 31 or FDD HS-DSCH category 32) and Single band Carrier Combination (3)	1 Execution: PS	
8.2.2.83.2	Radio Bearer Reconfiguration for transition between CELL_DCH & CELL_DCH with SRBs mapped on DCH: Successful Activation and Deactivation of 3C-HSDPA /Dual band and 64 QAM (1-2)	Rel-10	C860a	UEs supporting FDD and (FDD HS-DSCH category 29 or FDD HS-DSCH category 30 or FDD HS-DSCH category 31 or FDD HS-DSCH category 32) and (Dual band Carrier Combination (1,2))	1 Execution: PS	
8.2.2.83.3	Radio Bearer Reconfiguration for transition between CELL_DCH & CELL_DCH with SRBs mapped on DCH: Successful Activation and Deactivation of 3C-HSDPA /Dual band and 64 QAM (2-1)	Rel-10	C861a	UEs supporting FDD and (FDD HS-DSCH category 29 or FDD HS-DSCH category 30 or FDD HS-DSCH category 31 or FDD HS-DSCH category 32) and (Dual band Carrier Combination (2,1))	1 Execution: PS	
8.2.2.83.4	Radio Bearer Reconfiguration for transition between CELL_DCH & CELL_DCH with SRBs mapped on DCH: Successful Activation and Deactivation of 4C-HSDPA/Dual Band and 64 QAM (3-1)	Rel-10	C862a	UEs supporting FDD and (FDD HS-DSCH category 31 or FDD HS-DSCH category 32) (Dual band Carrier Combination (3.1))	1 Execution: PS	
8.2.2.83.5	Radio Bearer Reconfiguration for transition between CELL_DCH & CELL_DCH with SRBs mapped on DCH: Successful Activation and Deactivation of 4C-HSDPA/Dual Band and 64 QAM (2-2)	Rel-10	C863a	UEs supporting FDD and (FDD HS-DSCH category 31 or FDD HS-DSCH category 32) (Dual band Carrier Combination (2,2))	1 Execution: PS	
8.2.2.84	RRC Radio Bearer Reconfiguration for transition from CELL_DCH to CELL_DCH and from CELL_DCH to CELL_FACH: Success (Seamless SRNS relocation, without pending of ciphering, frequency modification, Default radio configuration for Cell_FACH)	Rel-9	C01	UEs supporting FDD	1 Execution: PS	
8.2.2.85.1	Radio Bearer Reconfiguration for transition between CELL_FACH and CELL_DCH: Successful Activation and Deactivation of 2cell/Single frequency on Single Band, intra-NodeB, 16 QAM	Rel-11	C914	UEs supporting FDD and Multiflow HSDPA andSingle Band – Single Frequency and Dual Cell combination (SB-SF-DC)	1 Execution: PS	
8.2.2.85.2	Radio Bearer Reconfiguration for transition between CELL_FACH and CELL_DCH: Successful Activation and Deactivation of 3cell/two frequency on Dual Bands, inter-NodeB, 16 QAM	Rel-11	C916	UEs supporting FDD and Multiflow HSDPA andDual Band – Dual Frequency and Three Cell combination (DB-DF-3C)	1 Execution: PS	
8.2.2.86.1	Radio Bearer Reconfiguration for transition between CELL_DCH & CELL_DCH with SRBs mapped on DCH: Successful Activation and Deactivation of two cell/Single frequency Multiflow HSDPA / Single Band	Rel-11	C914	UEs supporting FDD and Multiflow HSDPA andSingle Band – Single Frequency and Dual Cell combination (SB-SF-DC)	1 Execution: PS	
8.2.2.86.2	Radio Bearer Reconfiguration for transition between CELL_DCH & CELL_DCH with SRBs mapped on DCH: Successful Activation and Deactivation of three cell/Two frequency Multiflow HSDPA / Single Band	Rel-11	C915	UEs supporting FDD and Multiflow HSDPA andSingle Band – Dual Frequency and Three Cell combination (SB-DF-3C)	1 Execution: PS	
8.2.2.86.3	Radio Bearer Reconfiguration for transition between CELL_DCH & CELL_DCH with SRBs mapped on DCH: Successful Activation and Deactivation of three cell/Two frequency Multiflow HSDPA / Dual Band	Rel-11	C916	UEs supporting FDD and Multiflow HSDPA andDual Band – Dual Frequency and Three Cell combination (DB-DF-3C)	1 Execution: PS	
8.2.2.87.1	Radio Bearer Reconfiguration: two cell/single frequency Activation by Assisting Serving Cell Change from Multiflow HSDPA capable cell to Multiflow HSDPA capable cell/Single Band	Rel-11	C914	UEs supporting FDD and Multiflow HSDPA andSingle Band – Single Frequency and Dual Cell combination (SB-SF-DC)	1 Execution: PS	
8.2.2.87.2	Radio Bearer Reconfiguration: 3 cell/two frequencies Activation by Assisting Serving Cell Change from Multiflow capable cell to Multiflow capable cell/Single Band	Rel-11	C915	UEs supporting FDD and Multiflow HSDPA andSingle Band – Dual Frequency and Three Cell combination (SB-DF-3C)	1 Execution: PS	
8.2.2.87.3	Radio Bearer Reconfiguration: 3 cell/two frequencies Activation by Assisting Serving Cell Change from Multiflow capable cell to Multiflow capable cell/Dual Band	Rel-11	C916	UEs supporting FDD and Multiflow HSDPA andDual Band – Dual Frequency and Three Cell combination (DB-DF-3C)	1 Execution: PS	
8.2.2.88.1	Radio Bearer Reconfiguration for transition between CELL_PCH and CELL_DCH with SRBs mapped on DCH: Successful Activation of two cell/Single frequency Multiflow HSDPA /Single Band	Rel-11	C914	UEs supporting FDD and Multiflow HSDPA andSingle Band – Single Frequency and Dual Cell combination (SB-SF-DC)	1 Execution: PS	
8.2.2.88.2	Radio Bearer Reconfiguration for transition between CELL_PCH and CELL_DCH with SRBs mapped on DCH: Successful Activation of three cell/Two frequency Multiflow HSDPA /Single Band	Rel-11	C915	UEs supporting FDD and Multiflow HSDPA andSingle Band – Dual Frequency and Three Cell combination (SB-DF-3C)	1 Execution: PS	
8.2.2.88.3	Radio Bearer Reconfiguration for transition between CELL_PCH and CELL_DCH with SRBs mapped on DCH: Successful Activation of three cell/Two frequency Multiflow HSDPA /Dual Bands	Rel-11	C916	UEs supporting FDD and Multiflow HSDPA andDual Band – Dual Frequency and Three Cell combination (DB-DF-3C)	1 Execution: PS	
8.2.2.89	Void					
8.2.2.90	Void					
8.2.2.91	Radio Bearer Reconfiguration for transition to CELL_DCH with SRBs mapped on DCH: Successful Activation and Deactivation of DCH Enhancement in Basic Mode	Rel-12	C917	UEs supporting DCH Enhancement in Basic Mode	1 Execution: CS	
8.2.2.92	Radio Bearer Reconfiguration for transition to CELL_DCH with SRBs mapped on DCH: Successful Activation and Deactivation of DCH Enhancement in Full Mode	Rel-12	C918	UEs supporting DCH Enhancement in Full Mode	1 Execution: CS	
8.2.3.1	RRC / Radio Bearer Release for transition from CELL_DCH to CELL_DCH: Success	R99	C01d	UEs supporting FDD and ((CS bearer service and CS call establishment) or PS bearer service)	1 or 2 Executions: CS (only if CS call establishment is supported), PS	
8.2.3.2	Void					
8.2.3.3	Void					
8.2.3.4	Void					
8.2.3.5	Void					
8.2.3.6	Void					
8.2.3.7	RRC / Radio Bearer Release for transition from CELL_DCH to CELL_FACH: Success	R99	C06	UEs supporting FDD and supporting PS bearer service	1 Execution: PS	
8.2.3.8	RRC / Radio Bearer Release for transition from CELL_DCH to CELL_FACH: Success (Cell re-selection)	R99	C06	UEs supporting FDD and supporting PS bearer service	1 Execution: PS	
8.2.3.9	RRC / Radio Bearer Release for transition from CELL_FACH to CELL_DCH: Success	R99	C06	UEs supporting FDD and supporting PS bearer service	1 Execution: PS	
8.2.3.10	Void					
8.2.3.11	RRC / Radio Bearer Release for transition from CELL_FACH to CELL_DCH: Failure (Physical channel failure and successful reversion to old configuration)	R99	C06	UEs supporting FDD and supporting PS bearer service	1 Execution: PS	
8.2.3.12	Void					
8.2.3.13	Void					
8.2.3.14	Void					
8.2.3.15	RRC / Radio Bearer Release for transition from CELL_FACH to CELL_FACH: Success	R99	C06	UEs supporting FDD and supporting PS bearer service	1 Execution: PS	
8.2.3.16	RRC / Radio Bearer Release for transition from CELL_DCH to CELL_DCH: Success (Subsequently received)	R99	C01	UEs supporting FDD.		
8.2.3.17	RRC / Radio Bearer Release for transition from CELL_FACH to CELL_DCH: Success (Subsequently received)	R99	C06	UEs supporting FDD and supporting PS bearer service		
8.2.3.18	RRC / Radio Bearer Release from CELL_DCH to CELL_PCH: Success	R99	C06	UEs supporting FDD and supporting PS bearer service	1 Execution: PS	
8.2.3.19	RRC / Radio Bearer Release from CELL_DCH to URA_PCH: Success	R99	C06	UEs supporting FDD and supporting PS bearer service	1 Execution: PS	
8.2.3.20	RRC / Radio Bearer Release for transition from CELL_DCH to CELL_FACH (Frequency modification): Success	R99	C01	UEs supporting FDD.		
8.2.3.21	RRC / Radio Bearer Release from CELL_DCH to CELL_PCH (Frequency modification): Success	R99	C01	UEs supporting FDD.		
8.2.3.22	Radio Bearer Release for transition from CELL_FACH to CELL_PCH: Success	R99	C06	UEs supporting FDD and supporting PS bearer service		
8.2.3.23	Radio Bearer Release for transition from CELL_FACH to URA_PCH: Success	R99	C06	UEs supporting FDD and supporting PS bearer service		
8.2.3.24	Radio Bearer Release for transition from CELL_DCH to CELL_DCH (Frequency modification): Success	R99	C01	UEs supporting FDD		
8.2.3.25	Radio Bearer Release for transition from CELL_DCH to URA_PCH (Frequency modification): Success	R99	C01	UEs supporting FDD.		
8.2.3.26	Radio Bearer Release for transition from CELL_FACH to CELL_PCH (Frequency modification): Success	R99	C06	UEs supporting FDD and supporting PS bearer service		
8.2.3.27	Radio Bearer Release for transition from CELL_FACH to URA_PCH (Frequency modification): Success	R99	C06	UEs supporting FDD and supporting PS bearer service		
8.2.3.28	Radio Bearer Release for transition from CELL_FACH to CELL_FACH (Frequency modification): Success	R99	C06	UEs supporting FDD and supporting PS bearer service		
8.2.3.29	Radio Bearer Release for transition from CELL_DCH to CELL_DCH: Associated with signalling connection release during simultaneous PS and CS call	R99	C594	UEs supporting FDD and PS domain services and CS domain services, speech or transparent CS data	1 Execution: CS+PS	
8.2.3.30	Radio Bearer Release for transition from CELL_DCH to CELL_DCH: Success (stop of HS-DSCH reception)	Rel-5	C371	UEs supporting FDD and HS-PDSCH	1 Execution: PS	
8.2.3.31	Radio Bearer Release for transition from CELL_DCH to CELL_DCH: Success (With active HS-DSCH reception)	Rel-5	C393	UEs supporting FDD and PS domain services and CS domain services, speech or transparent CS data and HS-PDSCH	1 Execution: CS+PS	
8.2.3.32	Radio Bearer Release for transition from CELL_DCH to CELL_DCH: Success (Timing re-initialised hard handover to another frequency, with active HS-DSCH reception)	Rel-5	C393	UEs supporting FDD and PS domain services and CS domain services, speech or transparent CS data and HS-PDSCH.	1 Execution: CS+PS	
8.2.3.33	Radio Bearer Release for transition from CELL_DCH to CELL_DCH: Success (stop of HS-DSCH reception with frequency modification)	Rel-5	C393	UEs supporting FDD and PS domain services and CS domain services, speech or transparent CS data and HS-PDSCH.	1 Execution: CS+PS	
8.2.3.34	Radio Bearer Release for transition from CELL_DCH to CELL_FACH: Success (stop of HS-DSCH reception with frequency modification)	Rel-5	C393	UEs supporting FDD and PS domain services and CS domain services, speech or transparent CS data and HS-PDSCH	1 Execution: CS+PS	
8.2.3.35	Radio Bearer Release for transition from CELL_DCH to CELL_PCH: Success (stop of HS-DSCH reception)	Rel-5	C393	UEs supporting FDD and PS domain services and CS domain services, speech or transparent CS data and HS-PDSCH.	1 Execution: CS+PS	
8.2.3.36	Radio Bearer Release for transition from CELL_DCH to CELL_DCH: Success (frequency modification, stop of E-DCH transmission)	Rel-6	C463	UEs supporting FDD and PS domain services and speech and HS-PDSCH and E-DPDCH	1 Execution: CS+PS	
8.2.3.37	Radio Bearer Release for transition from CELL_DCH to CELL_DCH: Success (frequency modification, stop of discontinuous uplink transmission)	Rel-7	C579	UEs supporting FDD and UL DTX	1 Execution: PS	
8.2.4.1	RRC / Transport channel reconfiguration (Timing re- initialised hard handover with transmission rate modification) from CELL_DCH to CELL_DCH (Hard handover to same radio frequency): Success	R99	C483	UEs supporting FDD and reference radio bearer configuration \"Conversational / unknown / UL:28.8 DL:28.8 kbps / CS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH\" and \"Streaming / unknown / UL:57.6/DL:57.6 kbps / CS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH\" or “Interactive or background / UL:32 DL:32 kbps / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH” and \"Interactive or background / UL:64 DL: 64 kbps / PS RAB + UL:3.4 DL:3.4 kbps SRBs for DCCH\".	1 or 2 Executions: CS (if all the required CS bearers are supported), PS (if all the required PS bearers are supported)	
